ds,yhat,yhat_lower,yhat_upper
2020-03-02,217804.06842107183,156612.79787855886,273579.5766109411
2020-03-03,153419.42233067597,95134.70625059033,210922.53650235158
2020-03-04,98618.357332006,36666.5247364145,155571.91742524054
2020-03-05,117335.89091909278,56294.46955629129,175023.54826822184
2020-03-06,125259.93593587972,68272.0215196719,184831.03573982156
2020-03-07,160024.63818585838,103273.56108204217,222931.70045757573
2020-03-08,211252.5608425226,153750.29511071098,269825.03652880085
2020-03-09,231453.64487176924,175901.96285673985,288543.8209580365
2020-03-10,165343.13743114387,107228.73606945341,222881.25487797905
2020-03-11,108714.72458320214,49538.783129243806,172157.03392308438
2020-03-12,125571.32734030107,64848.46000049842,187567.6154083995
2020-03-13,131603.08639499705,70846.69556725644,187679.1909393333
2020-03-14,164500.32825565594,105809.20000563539,223713.2229423556
2020-03-15,213918.96171763088,155052.35853115114,274821.77212650713
2020-03-16,232383.43880718134,169682.6108448866,291184.1774739071
2020-03-17,164616.98066633006,106639.25090415086,224020.28799038226
2020-03-18,106484.90129563899,47116.986454884274,164600.00642854016
2020-03-19,122043.22295346149,62510.88473656201,180831.85880186924
2020-03-20,126964.23161859492,70340.277769381,186070.50690012696
2020-03-21,158969.71658133168,94880.5681165374,213883.33010839624
2020-03-22,207720.31961120202,147188.22172498767,264206.09246512834
2020-03-23,225723.31262072898,163965.273044824,284585.74645122665
2020-03-24,157675.9884603715,102848.52678106264,217631.42176919937
2020-03-25,99480.07268306929,37484.16472763889,158742.87452026614
